CUST_ID,TARGET_xgboost,TARGET_gbm,TARGET_rf,TARGET_glm,TARGET_deeplearning,submission$TARGET
100,0,0,0,0,0,0
188,0,0,0,0,0,0
269,0,0,0,0,0,0
323,1,1,1,1,1,0
397,0,0,0,1,0,0
453,0,0,0,1,0,0
513,0,0,0,0,0,0
678,1,1,1,1,1,1
724,0,0,0,0,0,0
728,1,1,1,1,0,1
742,0,0,0,0,0,0
752,0,0,0,0,0,0
760,0,0,0,0,0,0
766,0,1,1,1,0,0
771,0,0,0,0,0,0
809,0,0,0,0,0,0
848,0,0,0,0,0,0
972,0,0,0,0,0,0
1004,0,0,0,1,1,0
1040,1,1,1,1,0,0
1054,0,0,0,0,0,0
1097,0,0,0,0,0,0
1138,0,0,0,0,0,0
1196,0,0,0,0,0,0
1200,0,0,0,0,0,0
1205,0,0,0,0,1,0
1250,0,0,0,0,0,0
1271,0,0,0,0,0,0
1293,0,0,0,0,0,0
1387,0,0,0,0,0,0
1416,0,0,0,0,0,0
1445,0,0,0,0,0,0
1531,0,0,0,0,0,0
1562,0,0,0,0,0,0
1601,0,0,0,0,0,0
1627,0,0,0,1,0,0
1848,0,0,0,0,0,0
1890,0,0,0,0,0,0
1918,0,0,0,1,0,0
1946,0,0,0,0,0,0
1955,0,0,0,0,0,0
1974,0,0,0,0,0,0
2032,1,1,1,1,0,0
2122,0,0,0,0,0,0
2177,0,0,0,0,0,0
2290,0,0,0,0,0,0
2294,0,0,0,0,0,0
2297,0,0,0,0,0,0
2324,0,0,0,0,0,0
2380,0,0,0,0,0,0
2617,0,0,0,0,0,0
2628,0,0,0,0,0,0
2664,0,0,0,0,0,0
2699,0,0,0,0,0,0
2821,0,0,0,0,0,0
2852,0,0,0,0,0,0
2885,0,0,0,0,0,0
2908,0,0,0,0,0,0
2939,0,0,0,0,0,0
2975,0,0,0,0,0,0
3145,0,0,0,0,0,0
3181,0,0,0,0,0,0
3217,0,0,0,0,0,0
3247,0,0,0,0,0,0
3249,0,0,0,0,0,0
3257,0,0,0,0,0,0
3277,1,1,1,1,1,1
3353,0,0,0,0,0,0
3519,0,0,0,0,0,0
3631,0,0,0,0,0,0
3633,0,0,0,0,0,0
3774,1,1,1,1,0,0
3775,0,0,0,0,0,0
3787,0,0,0,0,0,0
3804,0,0,0,0,0,0
3944,0,0,0,0,0,0
3968,0,0,0,0,0,0
4094,0,0,0,0,0,0
4095,1,1,1,1,0,1
4128,1,1,1,1,0,0
4273,0,0,0,1,0,0
4310,0,0,0,0,0,0
4479,0,0,0,0,0,0
4486,0,0,0,0,0,0
4498,0,0,0,0,0,0
4523,1,1,1,1,0,0
4582,0,0,0,0,0,0
4643,0,0,0,0,0,0
4739,0,0,0,0,0,0
4905,0,0,0,0,0,0
5064,0,0,0,0,0,0
5069,0,0,0,0,0,0
5070,0,0,0,0,0,0
5155,0,0,0,1,0,0
5192,0,0,0,1,0,0
5205,0,0,0,1,0,0
5234,1,1,1,1,0,0
5239,1,0,0,1,0,0
5471,0,0,0,0,0,0
5485,0,0,0,0,0,0
5591,0,0,0,0,0,0
5607,0,0,0,0,0,0
5616,0,0,0,0,0,0
5653,1,1,1,1,0,0
5682,0,0,0,0,0,0
5711,0,0,0,0,0,0
5908,0,0,0,0,0,0
5953,0,0,0,0,0,0
5980,0,0,0,1,0,0
5986,0,0,0,0,0,0
6027,0,0,0,0,0,0
6034,0,0,0,0,0,0
6036,0,0,0,0,0,0
6055,1,0,0,1,0,0
6106,0,0,0,0,0,0
6108,0,0,0,0,0,0
6149,0,0,0,0,0,0
6157,0,0,0,0,0,0
6219,0,0,0,0,0,0
6280,0,0,0,1,0,0
6693,0,0,0,0,0,0
6735,0,1,1,1,0,0
6751,0,0,0,0,0,0
6770,0,0,0,1,0,0
6789,0,0,0,0,0,0
6816,0,0,0,0,0,0
6867,0,0,0,0,0,0
6906,0,0,0,0,0,0
6934,0,0,0,0,0,0
6959,0,0,0,0,0,0
7045,0,0,0,0,0,0
7064,0,0,0,0,0,0
7066,0,0,0,0,0,0
7121,0,0,0,0,0,0
7126,0,0,0,0,0,0
7136,0,0,0,0,0,0
7146,0,0,0,1,0,0
7225,1,1,1,1,0,0
7246,0,0,0,0,0,0
7269,1,0,0,1,0,0
7280,1,1,1,1,1,0
7317,0,0,0,0,0,0
7355,0,0,0,0,0,0
7370,0,0,0,1,0,0
7389,0,0,0,0,0,0
7400,0,0,0,0,0,0
7452,0,0,0,0,0,0
7585,0,0,0,0,0,0
7625,0,0,0,0,0,0
7700,0,0,0,0,0,0
7749,0,0,0,0,0,0
7950,0,0,0,0,0,0
7962,0,0,0,1,0,0
7980,0,0,0,1,0,0
8016,0,0,0,0,0,0
8203,0,0,0,0,0,0
8260,0,0,0,0,0,0
8387,0,0,0,1,0,0
8422,0,0,0,0,0,0
8724,0,0,0,0,0,0
8831,0,0,0,1,0,0
8868,0,0,0,1,0,0
8881,0,0,0,0,0,0
8890,0,0,0,0,0,0
8921,0,0,0,1,0,0
8980,0,0,0,0,0,0
8985,0,0,0,0,0,0
9055,1,1,1,1,1,1
9092,0,0,0,0,0,0
9257,0,0,0,0,0,0
9290,0,0,0,0,0,0
9435,0,0,0,0,0,0
9515,0,0,0,0,0,0
9658,0,0,0,0,0,0
9859,0,0,0,0,0,0
9862,0,0,0,0,0,0
9863,0,0,0,0,0,0
9888,0,0,0,0,0,0
9960,0,0,0,0,0,0
9963,0,0,0,0,0,0
9975,0,0,0,0,0,0
10041,0,0,0,0,0,0
10067,0,0,0,0,0,0
10222,0,0,0,0,0,0
10254,0,0,0,0,0,0
10259,0,0,0,0,0,0
10277,0,0,0,0,0,0
10306,0,0,0,0,0,0
10309,0,0,0,0,0,0
10323,0,0,0,0,0,0
10389,0,0,0,0,0,0
10449,0,0,0,0,0,0
10473,0,0,0,0,0,0
10523,1,1,1,1,0,1
10579,0,0,0,0,0,0
10641,1,1,1,1,0,0
10651,0,0,0,0,0,0
10665,0,0,0,0,0,0
10805,0,0,0,1,0,0
10867,0,0,0,1,0,0
10880,0,0,0,0,0,0
10944,0,0,0,0,0,0
10969,0,0,0,0,0,0
10990,0,0,0,0,0,0
11058,0,0,0,0,0,0
11087,0,0,0,0,0,0
11162,0,0,0,0,0,0
11171,0,0,0,0,0,0
11182,0,0,0,0,0,0
11258,0,0,0,1,0,0
11322,0,0,0,1,0,0
11368,0,0,0,0,0,0
11375,0,0,0,0,0,0
11376,0,0,0,0,0,0
11415,0,0,0,0,0,0
11451,0,0,0,0,0,0
11458,0,0,0,0,0,0
11525,1,1,1,1,0,1
11543,0,0,0,0,0,0
11649,0,0,0,0,0,0
11669,0,0,0,0,0,0
11779,0,0,0,0,0,0
11785,0,0,0,0,0,0
11853,1,1,1,1,1,0
11974,0,0,0,0,0,0
11994,0,0,0,0,0,0
12133,0,0,0,0,0,0
12194,0,0,0,0,0,0
12263,0,0,0,0,0,0
12273,0,0,0,0,0,0
12281,1,1,1,1,0,0
12311,0,0,0,1,0,0
12384,0,0,0,0,0,0
12462,0,0,0,0,0,0
12508,0,0,0,0,0,0
12531,0,0,0,0,0,0
12536,0,0,0,0,0,0
12558,1,0,0,1,0,0
12649,0,0,0,0,0,0
12694,0,0,0,0,0,0
12755,0,0,0,1,0,0
12773,0,0,0,0,0,0
12811,0,0,0,0,0,0
12846,0,1,1,1,0,0
12870,1,0,0,1,0,0
12892,1,1,1,1,1,1
12929,0,0,0,0,0,0
12966,0,0,0,0,0,0
12997,0,0,0,0,0,0
13077,0,0,0,0,0,0
13080,0,0,0,0,0,0
13131,0,0,0,1,0,0
13188,0,0,0,1,0,0
13268,0,0,0,1,0,0
13345,0,0,0,0,0,0
13351,0,0,0,0,0,0
13390,0,0,0,0,0,0
13421,1,1,1,1,1,1
13458,0,0,0,0,0,0
13502,0,0,0,1,0,0
13524,1,1,1,1,0,0
13562,0,0,0,0,0,0
13706,0,0,0,0,0,0
